C_Bid C_Ask C_Vol Strike P_Bid P_Ask P_Vol 
1249.5 1253.1 0.0 800.0 0.05 0.0 0.0 
1251.4 1252.9 2.0 800.0 0.05 1.0 1.0 
1201.4 1202.9 0.0 850.0 0.05 0.0 0.0 
1199.5 1203.1 0.0 850.0 0.05 0.0 0.0 
1151.4 1152.9 0.0 900.0 0.05 0.0 0.0 
1149.5 1153.1 0.0 900.0 0.05 0.0 0.0 
1126.4 1127.9 0.0 925.0 0.05 0.0 0.0 
1124.5 1128.1 0.0 925.0 0.05 0.0 0.0 
1099.6 1103.2 0.0 950.0 0.05 0.0 0.0 
1074.6 1078.2 0.0 975.0 0.05 0.0 0.0 
1076.4 1077.9 0.0 975.0 0.05 0.0 0.0 
1050.0 1053.2 100.0 1000.0 0.05 100.0 272.0 
999.6 1003.2 0.0 1050.0 0.05 20.0 86.0 
1001.4 1002.9 0.0 1050.0 0.05 50.0 809.0 
976.4 977.9 0.0 1075.0 0.05 99.0 110.0 
949.6 953.2 0.0 1100.0 0.05 18.0 72.0 
924.6 928.2 0.0 1125.0 0.05 20.0 47.0 
926.4 927.9 0.0 1125.0 0.05 2405.0 6938.0 
899.6 903.2 0.0 1150.0 0.05 41.0 254.0 
901.4 902.9 1.0 1150.0 0.05 50.0 26755.0 
876.4 878.0 0.0 1175.0 0.05 50.0 10855.0 
874.6 878.2 0.0 1175.0 0.05 55.0 55.0 
849.6 853.2 0.0 1200.0 0.05 124.0 4308.0 
824.6 828.2 0.0 1225.0 0.05 0.0 0.0 
826.4 827.9 1.0 1225.0 0.05 10.0 4078.0 
799.6 803.2 0.0 1250.0 0.05 18.0 7447.0 
801.4 803.0 0.0 1250.0 0.05 310.0 46413.0 
791.4 792.9 0.0 1260.0 0.05 20.0 1423.0 
781.4 782.9 0.0 1270.0 0.05 15.0 1040.0 
776.4 777.9 1.0 1275.0 0.05 150.0 27513.0 
774.6 778.2 0.0 1275.0 0.05 0.0 0.0 
771.4 772.9 0.0 1280.0 0.05 32.0 1733.0 
761.4 762.9 0.0 1290.0 0.05 355.0 2101.0 
749.6 753.2 0.0 1300.0 0.05 11.0 11.0 
746.4 747.9 0.0 1305.0 0.05 51.0 684.0 
